iter	Passed	Remaining
690	830	371
691	831	369
692	831	368
693	832	367
694	833	365
695	833	364
696	834	362
697	835	361
698	835	359
699	836	358
700	837	357
701	838	355
702	838	354
703	839	352
704	840	351
705	840	350
706	841	348
707	841	347
708	842	345
709	843	344
710	844	343
711	844	341
712	845	340
713	846	338
714	847	337
715	847	336
716	848	334
717	849	333
718	850	332
719	850	330
720	851	329
721	852	328
722	853	327
723	854	325
724	855	324
725	856	323
726	856	321
727	857	320
728	858	319
729	859	317
730	860	316
731	860	315
732	861	313
733	862	312
734	863	311
735	864	310
736	865	308
737	866	307
738	867	306
739	868	305
740	869	303
741	870	302
742	870	301
743	871	300
744	872	298
745	873	297
746	874	296
747	875	294
748	876	293
749	877	292
750	878	291
751	879	289
752	880	288
753	880	287
754	881	286
755	883	285
756	884	283
757	885	282
758	886	281
759	887	280
760	888	278
761	888	277
762	889	276
763	890	275
764	891	273
765	892	272
766	893	271
767	894	270
768	894	268
769	895	267
770	896	266
771	897	265
772	898	263
773	899	262
774	899	261
775	900	260
776	901	258
777	902	257
778	903	256
779	904	254
780	904	253
781	905	252
782	906	251
783	907	249
784	908	248
785	909	247
786	909	246
787	910	245
788	911	243
789	912	242
790	913	241
791	914	240
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	921	230
800	921	229
801	922	227
802	923	226
803	924	225
804	924	224
805	925	222
806	926	221
807	927	220
808	928	219
809	928	217
810	929	216
811	930	215
812	931	214
813	931	212
814	932	211
815	933	210
816	934	209
817	934	207
818	935	206
819	936	205
820	936	204
821	937	203
822	938	201
823	939	200
824	939	199
825	940	198
826	941	196
827	942	195
828	943	194
829	943	193
830	944	192
831	945	190
832	946	189
833	946	188
834	947	187
835	948	186
836	949	184
837	949	183
838	950	182
839	951	181
840	952	180
841	952	178
842	953	177
843	954	176
844	955	175
845	955	174
846	956	172
847	957	171
848	958	170
849	958	169
850	959	168
851	960	166
852	961	165
853	961	164
854	962	163
855	963	162
856	964	160
857	964	159
858	965	158
859	966	157
860	967	156
861	967	154
862	968	153
863	969	152
864	970	151
865	970	150
866	971	149
867	972	147
868	973	146
869	974	145
870	974	144
871	975	143
872	976	142
873	977	140
874	978	139
875	978	138
876	979	137
877	980	136
878	981	135
879	981	133
880	982	132
881	983	131
882	984	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	988	123
889	989	122
890	990	121
891	991	119
892	991	118
893	992	117
894	993	116
895	994	115
896	995	114
897	995	113
898	996	111
899	997	110
900	998	109
901	998	108
902	999	107
903	1000	106
904	1001	105
905	1002	103
906	1002	102
907	1003	101
908	1004	100
909	1005	99
910	1006	98
911	1006	97
912	1007	96
913	1008	94
914	1009	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1012	88
920	1013	86
921	1014	85
922	1014	84
923	1015	83
924	1016	82
925	1017	81
926	1017	80
927	1018	79
928	1019	77
929	1020	76
930	1020	75
931	1021	74
932	1022	73
933	1023	72
934	1023	71
935	1024	70
936	1025	68
937	1026	67
938	1026	66
939	1027	65
940	1028	64
941	1029	63
942	1030	62
943	1030	61
944	1031	60
945	1032	58
946	1033	57
947	1033	56
948	1034	55
949	1035	54
950	1036	53
951	1036	52
952	1037	51
953	1038	50
954	1039	48
955	1040	47
956	1040	46
957	1041	45
958	1042	44
959	1043	43
960	1043	42
961	1044	41
962	1045	40
963	1046	39
964	1047	37
965	1047	36
966	1048	35
967	1049	34
968	1050	33
969	1050	32
970	1051	31
971	1052	30
972	1053	29
973	1053	28
974	1054	27
975	1055	25
976	1056	24
977	1057	23
978	1057	22
979	1058	21
980	1059	20
981	1060	19
982	1061	18
983	1061	17
984	1062	16
985	1063	15
986	1064	14
987	1064	12
988	1065	11
989	1066	10
990	1067	9
991	1067	8
992	1068	7
993	1069	6
994	1070	5
995	1070	4
996	1071	3
997	1072	2
998	1073	1
999	1074	0
